Team Name,Preseason Power Rankings (nba.com),Final Power Ranking (The Athletic),Ranking Change,# of Playoff Wins,Total Cap,#1 Name, #1 Salary,#2 Name,#2 Salary,#3 Name,#3 Salary,Rest of Team,% of Payroll on Top 3
Oklahoma City Thunder,2,1,1,16,"$166,418,720.00",Shai Gigeous-Alexander,"$35,859,950.00",Isaiah Hartenstein,"$30,000,000.00",Luguentz Dort,"$17,000,000.00","$83,558,770.00",49.79004165%
Indiana Pacers,9,2,7,15,"$166,742,248.00",Pascal Siakam,"$42,176,400.00",Tyrese Haliburton,"$42,176,400.00",Myles Turner,"$19,928,500.00","$62,460,948.00",62.54041867%
New York Knicks,6,3,3,10,"$191,906,878.00",Karl-Anthony Towns,"$49,205,800.00",OG Anunoby,"$36,637,932.00",Jalen Brunson,"$24,960,001.00","$81,103,145.00",57.73828127%
Minnesota Timberwolves,5,4,1,9,"$203,708,244.00",Rudy Gobert,"$43,827,586.00",Anthony Edwards,"$42,176,400.00",Julius Randle,"$33,073,920.00","$84,630,338.00",58.45512369%
Cleveland Cavaliers ,11,5,6,5,"$165,110,486.00",Darius Garland,"$36,725,670.00",Donovan Mitchell,"$35,410,310.00",De'Andre Hunter,"$21,696,429.00","$71,278,077.00",56.83007256%
Denver Nuggets,3,6,-3,7,"$185,864,258.00",Nikola Jokic,"$51,415,938.00",Jamal Murray,"$36,016,200.00",Michael Porter,"$35,859,950.00","$62,572,170.00",66.33447943%
Golden State Warriors,13,7,6,5,"$170,316,619.00",Stephen Curry,"$55,761,217.00",Jimmy Butler,"$48,798,677.00",Draymond Green,"$24,107,143.00","$41,649,582.00",75.54579098%
Boston Celtics,1,8,-7,6,"$195,348,491.00",Jaylen Brown,"$49,205,800.00",Jayson Tatum,"$34,848,340.00",Jrue Holiday,"$30,000,000.00","$81,294,351.00",58.38496085%
Houston Rockets,19,9,10,3,"$163,038,023.00",Fred VanVleet,"$42,846,615.00",Dillon Brooks,"$23,255,493.00",Steven Adams,"$12,600,000.00","$84,335,915.00",48.27224138%
Los Angeles Lakers,20,10,10,1,"$192,057,940.00",Lebron James,"$48,728,845.00",Luka Doncic,"$43,031,940.00",Rui Hachimura,"$17,000,000.00","$83,297,155.00",56.62915316%
Los Angeles Clippers,17,11,6,3,"$174,124,752.00",Kawhi Leonard,"$49,205,800.00",James Harden,"$33,653,846.00",Norman Powell,"$19,241,379.00","$72,023,727.00",58.6367095%
Detroit Pistons,24,12,12,2,"$140,501,660.00",Tobias Harris,"$25,365,854.00",Tim Hardaway Jr,"$16,193,183.00",Isaiah Stewart,"$15,000,000.00","$83,942,623.00",40.25506674%
Orlando Magic,14,13,1,1,"$152,308,863.00",Jonathan Issac,"$27,600,000.00",Kentavious Caldwell-Pope,"$22,757,000.00",Cole Anthony,"$12,900,000.00","$89,051,863.00",41.53205451%
Milwaukee Bucks,10,14,-4,1,"$182,559,432.00",Giannis Antetokounmpo,"$48,787,676.00",Damian Lillard,"$48,787,676.00",Kyle Kuzma,"$24,456,060.00","$60,528,020.00",66.84475881%
Memphis Grizzlies,18,15,3,0,"$165,903,638.00",Ja Morant,"$36,725,670.00",Desmond Bane,"$34,005,250.00",Jaren Jackson Jr,"$25,257,798.00","$69,914,920.00",57.8581152%
Miami Heat,15,16,-1,0,"$176,102,077.00",Bam Adebayo,"$34,848,340.00",Tyler Herro,"$29,000,000.00",Andrew Wiggins,"$26,276,786.00","$85,976,951.00",51.17777572%
Dallas Mavericks,4,17,-13,0,"$174,411,922.00",Anthony Davis,"$43,219,440.00",Kyrie Irving,"$40,000,000.00",Klay Thompson,"$15,873,016.00","$75,319,466.00",56.81518492%
Atlanta Hawks,21,18,3,0,"$170,057,021.00",Trae Young,"$43,031,940.00",Clint Capela,"$22,265,280.00",Caris Levert,"$16,615,384.00","$88,144,417.00",48.1677284%
Chicago Bulls,25,19,6,0,"$165,722,496.00",Lonzo Ball,"$21,395,348.00",Nikola Vucevic,"$20,000,000.00",Patrick Williams,"$18,000,000.00","$106,327,148.00",35.84024465%
Sacramento Kings,16,20,-4,0,"$167,811,057.00",Zach Lavine,"$44,531,940.00",Domantas Sabonis,"$39,200,000.00",DeMar DeRozan,"$23,400,000.00","$60,679,117.00",63.84081116%
San Antonio Spurs,23,21,2,0,"$162,395,330.00",De'Aaron Fox,"$34,848,340.00",Devin Vassell,"$29,347,826.00",Keldon Johnson,"$19,000,000.00","$79,199,164.00",51.23063945%
Portland Trailblazers,29,22,7,0,"$167,012,048.00",Deandre Ayton,"$34,005,126.00",Jerami Grant,"$29,793,104.00",Anfernee Simons,"$25,892,857.00","$77,320,961.00",53.70336336%
Phoenix Suns,8,23,-15,0,"$220,708,856.00",Kevin Durant,"$51,179,020.00",Bradley Beal,"$50,203,930.00",Devin Booker,"$49,205,800.00","$70,120,106.00",68.22959111%
Toronto Raptors,22,24,-2,0,"$170,516,134.00",Brandon Ingram,"$36,016,200.00",Immanuel Quickley,"$32,500,000.00",RJ Barrett,"$25,794,643.00","$76,205,291.00",55.30904366%
Philadelphia 76ers ,7,25,-18,0,"$171,336,738.00",Joel Embiid,"$51,415,938.00",Paul George,"$49,205,800.00",Tyrese Maxey,"$35,147,000.00","$35,568,000.00",79.24087944%
Brooklyn Nets,28,26,2,0,"$168,312,896.00",Ben Simmons,"$39,256,083.00",Nic Claxton,"$27,556,817.00",Cameron Johnson,"$23,062,500.00","$78,437,496.00",53.39780976%
New Orleans Pelicans,12,27,-15,0,"$172,778,396.00",Zion Williamson,"$36,725,670.00",Cj McCollum,"$33,333,333.00",Dejounte Murray,"$28,817,135.00","$73,902,258.00",57.22714199%
Charlotte Hornets,27,28,-1,0,"$168,575,524.00",LaMelo Ball,"$35,147,000.00",Miles Bridges ,"$27,173,913.00",Jusuf Nurkic,"$18,125,000.00","$88,129,611.00",47.7209924%
Washington Wizards,30,29,1,0,"$173,806,822.00",Khris Middleton,"$31,000,000.00",Jordan Poole,"$29,651,786.00",Malcolm Brogdon,"$22,500,000.00","$90,655,036.00",47.84149727%
Utah Jazz,14,30,-16,0,"$154,060,898.00",Lauri Markkanen,"$42,176,400.00",John Collins,"$26,580,000.00",Collin Sexton,"$18,150,000.00","$67,154,498.00",56.41042025%